"class","count","class_label"
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE13_Software_Computing_E-Service",2,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE15_Data_E-Service",3,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE17_Curated_Data_E-Service",41,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE1_Service",28,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE22_Persistent_Dataset",96,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE24_Volatile_Dataset",39,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE25_RI_Consortium",12,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE26_RI_Project",10,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE28_Curation_Plan",2,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE29_Access_Point",227,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE34_Team",20,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE36_Competency_Type",27,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE37_Protocol_Type",7,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE38_Schema",15,""
"http://parthenos.d4science.org/CRMext/CRMpe.rdfs/PE7_Data_Hosting_Service",1,""
"http://www.cidoc-crm.org/cidoc-crm/E21_Person",116,"Person/Personne/Pessoa/Πρόσωπο/Личность/人物"
"http://www.cidoc-crm.org/cidoc-crm/E29_Design_or_Procedure",102,"Conception ou procédure/Design or Procedure/Entwurf oder Verfahren/Projeto ou Procedimento/Σχέδιο/Проект или Процедура/设计或程序"
"http://www.cidoc-crm.org/cidoc-crm/E30_Right",25,"Direitos/Droit/Recht/Right/Δικαίωμα/Право/权限"
"http://www.cidoc-crm.org/cidoc-crm/E31_Document",64,"Document/Documento/Dokument/Τεκμήριο/Документ/文献"
"http://www.cidoc-crm.org/cidoc-crm/E39_Actor",47,"Actor/Agent/Agente/Akteur/Δράστης/Агент/角色"
"http://www.cidoc-crm.org/cidoc-crm/E40_Legal_Body",19,"Collectivité/Juristische Person/Legal Body/Pessoa Jurídica/Νομικό Πρόσωπο/Юридическое Лицо/法律组织"
"http://www.cidoc-crm.org/cidoc-crm/E41_Appellation",231,"Appellation/Benennung/Designação/Ονομασία/Обозначение/称号"
"http://www.cidoc-crm.org/cidoc-crm/E45_Address",39,"Address/Adresse/Endereço/Διεύθυνση/Адрес/地址"
"http://www.cidoc-crm.org/cidoc-crm/E4_Period",10,"Period/Período/Phase/Période/Περίοδος/Период/期间"
"http://www.cidoc-crm.org/cidoc-crm/E51_Contact_Point",121,"Contact Point/Coordonnées individuelles/Kontaktpunkt/Ponto de Contato/Στοιχείο Επικοινωνίας/Контакт/联系方式"
"http://www.cidoc-crm.org/cidoc-crm/E52_Time-Span",10,"Durée/Período de Tempo/Time-Span/Zeitspanne/Χρονικό Διάστημα/Интервал Времени/时段"
"http://www.cidoc-crm.org/cidoc-crm/E53_Place",10,"Lieu/Local/Ort/Place/Τόπος/Место/地点"
"http://www.cidoc-crm.org/cidoc-crm/E55_Type",111,"Tipo/Type/Typus/Τύπος/Тип/类型"
"http://www.cidoc-crm.org/cidoc-crm/E74_Group",79,"Group/Groupe/Grupo/Menschliche Gruppe/Ομάδα/Группа/群组"
"http://www.cidoc-crm.org/frbr/F51_Pursuit",160,""
"http://www.ics.forth.gr/isl/CRMext/CRMdig.rdfs/D7_Digital_Machine_Event",35,""
